,0,1
across,3.14462570744,2.50470355889
act,-0.596094699236,-5.25820041131
acted,-0.786444192287,-6.62100054791
acting,4.89898445249,-6.35602575855
action,0.307794959102,0.395201916355
acts,4.11221956627,-8.66858027405
actual,5.44503656508,-6.06647404432
actually,0.147167834582,-7.41345551668
adamant,4.64493490429,-8.23967379823
add,0.134259746448,-5.49477659606
addam,2.76184765084,0.814058054809
addams,-0.600770800607,-1.42286692269
addarn,-0.452846289143,-1.47227473191
added,3.24195729634,-2.02131499628
addition,2.33864705905,-0.303763894209
address,0.78069762072,-6.13832461355
addressed,6.41744320357,-5.39463231351
adequate,3.26067121872,-9.13284453403
adjoining,3.70277280411,-6.30913774617
adjust,1.90879031864,-7.82362767811
adjusted,0.388871301118,2.03831187649
admiral,3.31420760719,-3.56234146163
admiration,6.1738223141,-5.27370255484
admire,0.932834384209,-6.93550024352
admired,2.78861659037,-5.73424544222
admiring,4.71542630825,-8.33587564572
admission,3.00834253656,-6.02897244805
admit,-1.09419848522,-4.84928994763
admitted,-3.38516133415,-5.01201750143
admittedly,4.02565217245,-8.52659653507
adorned,-0.650647595101,4.3539443358
adultery,3.36596876188,-4.55916252266
advance,4.73213175773,-8.10095550613
advanced,1.41911374697,-2.69667864247
advancing,4.15389850339,-5.22843890813
advantage,5.22068875818,-7.73765810832
adventure,1.3058439366,-8.29051035409
adventures,4.94522665704,-5.69604504215
advice,3.081288263,-6.0682405555
advise,0.47063327068,-6.38302999962
aegon,1.55643454739,-0.990817560142
aegons,-1.92682180007,2.46752996881
aemon,-3.97969151047,-2.42962536688
aemons,2.38960676317,-2.48722203369
aenys,-0.72330653202,-1.04722938744
aenyss,1.58725172615,-1.7585935632
aerion,4.75477403631,-8.31582356536
aeron,0.710382512906,-3.9311031002
aerons,5.4066236894,-6.66082610202
aerys,-0.641019810904,-3.19294654976
aeryss,2.44645436928,-2.86859419796
afar,3.24476628051,3.37703300852
affair,3.21826988619,-6.76039970062
affection,2.23302262444,-5.1572806204
afflicted,4.75925945204,-8.09874305987
afford,0.476086035,-6.45825241348
affront,3.25666848392,-8.81815978172
afield,3.47155185011,-9.18988757821
afire,2.19864023452,3.98593006479
aflame,1.16354026331,-0.366623104762
afloat,4.52393735694,-8.16334419195
afoot,5.35807925184,-0.28945977027
afore,4.59617128711,-8.14921467325
afraid,-1.75083418553,-4.91083634293
aft,0.683681670559,4.90538278055
after,4.17624676052,-2.2711611036
afterdeck,3.67982847968,-3.53765065208
afternoon,-2.23149556166,1.46121871594
afternoons,2.00438982781,-3.84836721182
aftertaste,3.35011231623,-6.56696484039
afterward,-3.9586201014,-2.69201401638
again,1.34890935062,2.96673722375
against,-4.08370382855,2.87727465081
age,5.5133025076,-1.06198730581
aged,3.15089789955,-2.29598457829
agents,4.28249593748,-8.65943624173
ages,2.47687351622,-6.95422301151
aggar,4.09326569577,-6.39961579408
aggo,0.31928608523,7.10121411914
aghast,-0.89233775733,-7.67821152459
agile,4.08903903931,-7.22798239783
aglow,2.58686300923,0.06737322842
ago,-3.78534518033,-0.312633925047
agony,0.962696845957,5.1018175226
agree,-1.73779834696,-4.52675342407
agreed,-3.37979557809,-5.11731925488
agreement,0.0235723489236,0.465688701064
agrees,2.21784133335,-8.79293063922
aground,4.98456001392,-6.92111923914
ah,-0.241098847882,-5.91729425023
ahai,3.99948128398,-3.95081399657
ahead,-2.2424529274,3.47437941315
ahorse,1.14775567157,-3.61293366733
aid,-0.278255757577,-4.86369787811
aim,-1.32688426562,-2.45044913459
aimed,2.69252745725,-5.41019901204
aint,1.66528755475,-8.02980474012
air,3.98139124309,2.63040417975
airily,0.42171417539,-7.88657336635
airy,1.44909971155,1.7616185166
aisle,2.65038941052,2.98232576593
alan,3.92203548004,-1.78348881342
alannys,2.65784596635,-2.40830295269
alaric,2.48657600369,-3.84908527186
alarm,4.67069375954,-6.97339430628
alarmed,4.42464782318,-8.71531196172
alas,0.541213651378,-7.55446901838
alayaya,0.323798638381,-8.17696909279
alayne,-0.852133181784,-7.25935936726
alaynes,0.720618784803,-1.67764887712
albar,-0.0209920576494,-1.38261190153
albeit,3.74533890676,-7.10172176107
albett,1.62418394266,-1.07252735744
alchemist,5.35857719841,-3.299777009
alchemists,3.07670698471,1.45630139576
alcove,-0.41522447436,-0.102661947481
alcoves,2.79395471837,-1.72568386629
ale,-1.64765473059,3.89519132546
alebelly,1.91886202946,-5.23140159551
alehouse,3.22209361592,-2.13249043203
alehouses,2.29018085938,0.861606160212
alerie,2.17864409857,-1.92249228522
alesander,2.62936017706,-2.29631582432
alester,3.95178152975,-0.369875373355
alfyn,1.54749037294,-3.08928054874
alien,2.52263318783,-5.23740728566
alike,1.94365893512,4.25141193199
alive,-1.20309694227,-6.87316030765
all,-3.32934263139,-0.342743035132
alla,-3.04635983556,-0.829187109641
allar,4.26108109272,-3.12277761445
allard,3.14575613346,-2.95435147025
allegiance,1.08934521151,-4.80045467001
alleras,2.61075441368,-4.54564577068
alley,-2.22593254284,4.17979507761
alleys,-2.84051938121,2.50541389592
alliance,5.05285545737,-3.81934441288
alliances,4.99341147629,-4.58802275698
allies,5.15090201417,-5.3634695376
alliser,5.01480107492,2.21661946008
allisers,5.82748976648,-1.7165505593
allow,-1.6176537915,-4.17070439039
allowed,-1.29669079848,-5.05687734962
